fips,year_min,year_max,no_years
02063,2010,2020,11
02066,2010,2020,11
02068,1990,2020,31
02105,2000,2020,21
02158,1990,2020,31
02195,2000,2020,21
02198,2000,2020,21
02201,1982,1999,18
02230,2000,2020,21
02231,1982,1989,8
02232,1990,1999,10
02261,1982,2009,28
02270,1982,1989,8
02275,2000,2020,21
02280,1982,1999,18
02282,1990,2020,31
08014,2000,2020,21
12025,1982,1989,8
12086,1990,2020,31
30113,1982,1989,8
46102,1990,2020,31
46113,1982,1989,8
51515,1982,2009,28
51560,1982,1999,18
51780,1982,1989,8
